공사장:물적사고	메인지브 등이 전도	붕괴	o 타워크레인 마스터 상승작업(높이연장)을 위해 마스트턴테이블(Jib(붐)회전장치)과 연결된 타워크레인(L형 2.9T)의 마스터 상승작업 중 상부의 턴데이블을 포함한 <e1>메인지브 등이 전도</e1>되어 8층 슬래브에 <e2>붕괴</e2>됨.
공사장:물적사고	메인지브 등이 전도	붕괴	o 타워크레인 마스터 상승작업(높이연장)을 위해 마스터턴테이블(Jib(붐)회전장치)과 연결된 탑마스터(최상단마스터)의 하단부 연결핀을 제거하여야 하나 작업자의 실수로 마스터턴테이블과 탑마스터 상부의 연결핀을 해체함으로 탑마스트와 상부의 턴테이블을 포함한 <e1>메인지브 등이 전도</e1>되어 <e2>붕괴</e2>된 것으로 추정.
공사장:물적사고	지반이 연약	붕괴	o <e2>붕괴</e2>된 지반이 하천정비공사를 위해 성토한 연약지반으로 붕괴 인접부까지는 시트파일이 시공되어 있으나, 사고부위는 토류벽설치 등 비탈면 안전확보조치를 하지 않고 굴착작업을 하였으며, 최근 잦은 강우로 <e1>지반이 연약</e1>하여졌음에도 이를 고려한 지반상태 파악 등 안전조치를 하지 않아 발생된 사고로 추정됨.
공사장:인적사고	굴착 비탈면(높이 약 2.5~3.0m)이 붕괴	근로자 1명이 매몰되어 사망	o 중부도시가스의 가스관 매설을 위해 시공사 소속 근로자가 굴착면 바닥정리를 하던 중 우측 <e1>굴착 비탈면(높이 약 2.5~3.0m)이 붕괴</e1>되어 <e2>근로자 1명이 매몰되어 사망</e2>.
공사장:물적사고	편하중	붕괴가 발생	o 타워크레인의 붕괴원인은 타워크레인 기초(콘크리트 블록)가 지반에 충분히 고정되지 못하여 <e1>편하중</e1>에 의해 <e2>붕괴가 발생</e2>된 것으로 추정.
공사장:인적사고	데크바닥이 약 8m 하부로 붕괴	근로자 4명 부상	o 전망데크용 켄틸레버(6m)에 콘크리트 타설(90㎥) 중 켄틸레버 빔에 접합된 강관기둥(2개)과 중간부분 횡방향 빔에 접합된 켄틸레버 빔(2개)이 파단되어 켄틸레버 <e1>데크바닥이 약 8m 하부로 붕괴</e1>되어 데크위에서 콘크리트 타설 작업 중인 <e2>근로자 4명 부상</e2>.
공사장:물적사고	켄틸레버 빔 2개가 파단	켄틸레버부분이 붕괴	o 전망데크용 켄틸레버(6m)의 콘크리트 타설(90m³) 중 켄틸레버 빔에 접합된 강관기둥 2개와 중간부분 횡방향빔에 접합된 <e1>켄틸레버 빔 2개가 파단</e1>되어 <e2>켄틸레버부분이 붕괴</e2>.
공사장:물적사고	굴착장비 하중	붕괴	o 보강토옹벽 시공시 지오그리드의 보강재 없이 바닥 및 높이 1.5m 부위에 콘크리트를 부분타설만하여 재생골재로 뒤채움을 해놓은 상태로, 보강토옹벽 재시공을 위한 공사 중에 기존석축과의 구속력이 발생되지 않는 보강토옹벽구간(높이 3.8m, 옹벽상단 1m, 붕괴연장 12m)이 상재 <e1>굴착장비 하중</e1>에 <e2>붕괴</e2>.
공사장:물적사고	굴착장비 하중	붕괴	o 건축물 외벽면에서 석축과의 최소이격거리 확보를 위해 기존 석축 전면에 보강재 설치 없이 보강토옹벽을 임의 시공하여, 준공검사를 위한 재시공 중 기존석축과의 구속력이 발생되지 않는 보강토옹벽구간이 상재 <e1>굴착장비 하중</e1>에 <e2>붕괴</e2>.
공사장:물적사고	준설차량의 하중	침하발생	o 하수도 <e1>준설차량의 하중</e1>으로 인한 임시포장구간 <e2>침하발생</e2>.
