learning_rate/pg1,learning_rate/pg2,step,train_mention_loss,train_coref_loss,train_entity_loss,train_rel_loss,train_loss,epoch,valid_f1,mention_prec_micro,mention_rec_micro,mention_f1_micro,mention_prec_macro,mention_rec_macro,mention_f1_macro,coref_prec_micro,coref_rec_micro,coref_f1_micro,coref_prec_macro,coref_rec_macro,coref_f1_macro,entity_prec_micro,entity_rec_micro,entity_f1_micro,entity_prec_macro,entity_rec_macro,entity_f1_macro,rel_prec_micro,rel_rec_micro,rel_f1_micro,rel_prec_macro,rel_rec_macro,rel_f1_macro,rel_nec_prec_micro,rel_nec_rec_micro,rel_nec_f1_micro,rel_nec_prec_macro,rel_nec_rec_macro,rel_nec_f1_macro
3.375e-07,3.375e-07,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,0.24579960107803345,0.13868415355682373,0.6892449259757996,2.0488834381103516,2.6056785583496094,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1479,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.753378378378378e-07,6.753378378378378e-07,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,0.09448015689849854,0.03370048850774765,0.6770855188369751,1.638636827468872,1.9360888004302979,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2959,,,,,,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0131756756756757e-06,1.0131756756756757e-06,2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2999,0.054309405386447906,0.01719454675912857,0.24553850293159485,0.5127383470535278,0.6456269025802612,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3510135135135136e-06,1.3510135135135136e-06,3999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3999,0.06198349595069885,0.0015254541067406535,0.32189297676086426,1.3518763780593872,1.4958585500717163,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4439,,,,,,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6888513513513515e-06,1.6888513513513515e-06,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4999,0.048547014594078064,0.0019050843548029661,0.39171841740608215,0.30783480405807495,0.4562165141105652,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5919,,,,,,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0266891891891895e-06,2.0266891891891895e-06,5999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5999,0.04511741176247597,7.134383486118168e-05,0.5817705988883972,0.1423664391040802,0.3329978585243225,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.364527027027027e-06,2.364527027027027e-06,6999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6999,0.03325723484158516,8.940692737269273e-07,0.0015035133110359311,0.002931336872279644,0.03656534478068352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7399,,,,,,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.702364864864865e-06,2.702364864864865e-06,7999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7999,0.01839328743517399,4.9471709644421935e-06,0.0025372994132339954,0.000537365791387856,0.01956992596387863,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8879,,,,,,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0402027027027027e-06,3.0402027027027027e-06,8999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8999,0.0247529074549675,5.9604641222676946e-08,0.00029731335234828293,0.000407167652156204,0.025234462693333626,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3780405405405406e-06,3.3780405405405406e-06,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9999,0.010478338226675987,1.7881392011531716e-07,0.0001496536424383521,8.976242679636925e-05,0.010605692863464355,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10359,,,,,,6,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7158783783783785e-06,3.7158783783783785e-06,10999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10999,0.004680633079260588,4.690773494075984e-05,0.0007644263096153736,0.00087324547348544,0.005791892763227224,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11839,,,,,,7,19.444444444444446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.053716216216216e-06,4.053716216216216e-06,11999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11999,0.005868247244507074,4.172324281626061e-07,0.39402443170547485,0.0010587078286334872,0.10543347895145416,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.391554054054054e-06,4.391554054054054e-06,12999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12999,0.022848118096590042,1.2993725249543786e-05,0.000683926569763571,6.991514965193346e-05,0.023102007806301117,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13319,,,,,,8,29.694323144104807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.729391891891892e-06,4.729391891891892e-06,13999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13999,0.0017021697713062167,1.9430921383900568e-05,0.00037144499947316945,4.821907714358531e-05,0.0018626810051500797,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14799,,,,,,9,41.007194244604314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.06722972972973e-06,5.06722972972973e-06,14999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14999,0.081656813621521,5.9604641222676946e-08,0.016666382551193237,0.001465988578274846,0.08728946000337601,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.405067567567568e-06,5.405067567567568e-06,15999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15999,0.001761346124112606,0.0,0.00010054380254587159,8.225421879615169e-06,0.0017947074957191944,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16279,,,,,,10,53.19148936170212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.742905405405406e-06,5.742905405405406e-06,16999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16999,0.009922096505761147,0.0,6.961402687011287e-05,2.2113184968475252e-05,0.009961613453924656,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17759,,,,,,11,54.93827160493828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.080743243243244e-06,6.080743243243244e-06,17999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17999,0.0006463845493271947,0.0,2.5867975637083873e-05,1.6689291442162357e-06,0.0006545204669237137,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.418581081081082e-06,6.418581081081082e-06,18999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18999,0.014578205533325672,0.0,3.313919296488166e-05,0.006314369849860668,0.02090086042881012,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19239,,,,,,12,51.61290322580645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.756418918918919e-06,6.756418918918919e-06,19999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19999,0.003791299881413579,0.0,7.331344022531994e-06,3.6358783290779684e-06,0.003796768607571721,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20719,,,,,,13,52.99539170506912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.094256756756758e-06,7.094256756756758e-06,20999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20999,0.001019997289404273,0.0,7.98698965809308e-06,1.0073142220790032e-05,0.0010320672299712896,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.432094594594595e-06,7.432094594594595e-06,21999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
